Instance,Scenario,GA,GAKK,GALPT,GALRPT,GAMIX,GAMIX_no_GAKK,GAMIX_no_GALPT,GAMIX_no_GALRPT,GAMIX_no_GASPT,GAMIX_no_GASRPT,GAMIX_no_LPT_SRPT,GASPT,GASRPT
ft20,Breakdown,4.600000000000136,4.7000000000000455,14.800000000000182,1.7000000000000455,0.0,19.100000000000136,1.800000000000182,-10.299999999999955,26.200000000000045,19.0,-2.199999999999818,16.90000000000009,-15.5
ft20,Mixed,-5.0,-12.099999999999909,-3.0,-9.699999999999818,0.0,-17.09999999999991,-23.5,-26.799999999999955,-20.0,-17.59999999999991,-2.5,-4.2999999999999545,-22.299999999999955
ft20,NewJob,31.700000000000045,33.200000000000045,21.899999999999864,9.0,0.0,24.200000000000045,18.299999999999955,31.399999999999864,40.200000000000045,17.799999999999955,15.399999999999864,6.599999999999909,35.299999999999955
ft20,Static,0.2999999999999545,5.099999999999909,29.40000000000009,-9.599999999999909,0.0,-0.7999999999999545,17.5,10.400000000000091,-0.599999999999909,9.0,0.900000000000091,12.299999999999955,0.5
ft20,TimeNoise,6.0,16.0,11.099999999999909,-18.100000000000136,0.0,-4.7000000000000455,15.399999999999864,14.699999999999818,1.599999999999909,10.5,-10.900000000000091,-17.40000000000009,7.2999999999999545
la01,Breakdown,0.0,6.2999999999999545,10.899999999999977,11.399999999999977,0.0,7.5,10.0,7.199999999999932,1.8999999999999773,4.699999999999932,6.899999999999977,2.2999999999999545,8.299999999999955
la01,Mixed,-1.2000000000000455,-1.7000000000000455,4.899999999999977,-2.400000000000091,0.0,-5.900000000000091,0.2999999999999545,5.7999999999999545,-5.100000000000023,-0.8000000000000682,2.0,5.199999999999932,7.399999999999977
la01,NewJob,1.5,0.10000000000002274,-1.3999999999999773,1.5,0.0,-2.0,11.700000000000045,5.100000000000023,6.300000000000068,2.800000000000068,0.10000000000002274,0.20000000000004547,3.7000000000000455
la01,Static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000004547,0.0
la01,TimeNoise,3.699999999999932,6.699999999999932,1.099999999999909,1.8999999999999773,0.0,-2.6000000000000227,9.799999999999955,-1.3000000000000682,0.5,-2.2000000000000455,3.3999999999999773,3.5,-2.7000000000000455
la10,Breakdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la10,Mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la10,NewJob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la10,Static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la10,TimeNoise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la20,Breakdown,5.0,12.300000000000068,25.600000000000023,-7.0,0.0,4.300000000000068,19.0,3.1000000000000227,11.600000000000023,13.400000000000091,-0.7999999999999545,-5.0,37.10000000000002
la20,Mixed,-3.3999999999999773,15.399999999999977,5.2999999999999545,-1.6000000000000227,0.0,0.10000000000002274,-3.7000000000000455,1.6000000000000227,14.299999999999955,9.0,14.0,-4.2999999999999545,10.0
la20,NewJob,12.100000000000023,1.0,14.299999999999955,-4.2999999999999545,0.0,2.6000000000000227,-2.6000000000000227,-11.399999999999977,13.200000000000045,-1.7999999999999545,-2.2000000000000455,10.5,12.100000000000023
la20,Static,0.900000000000091,3.0,10.100000000000023,-6.099999999999909,0.0,-3.599999999999909,-10.5,-5.699999999999932,3.0,3.7000000000000455,-8.5,-13.099999999999909,-7.899999999999977
la20,TimeNoise,-14.199999999999932,-16.100000000000023,-4.7999999999999545,3.6000000000000227,0.0,3.7000000000000455,-22.299999999999955,-6.7999999999999545,-21.0,2.8999999999999773,14.0,12.200000000000045,0.0
la30,Breakdown,-22.899999999999864,-31.59999999999991,-15.700000000000045,-16.59999999999991,0.0,-18.59999999999991,-3.5,-18.899999999999864,0.20000000000004547,-3.3999999999998636,-6.0,2.1000000000001364,-38.0
la30,Mixed,7.599999999999909,-16.600000000000136,7.7000000000000455,3.5,0.0,4.2999999999999545,-9.600000000000136,-0.5,7.399999999999864,4.7999999999999545,1.3999999999998636,9.700000000000045,-2.5
la30,NewJob,-19.40000000000009,-13.400000000000091,-32.30000000000018,-14.5,0.0,-1.900000000000091,2.8999999999998636,-8.100000000000136,1.599999999999909,-5.0,-14.700000000000045,5.599999999999909,-23.700000000000045
la30,Static,2.7999999999999545,-5.900000000000091,-18.40000000000009,-23.0,0.0,-18.799999999999955,-17.09999999999991,-4.7000000000000455,-11.599999999999909,-25.5,-17.299999999999955,-2.599999999999909,-22.40000000000009
la30,TimeNoise,-12.900000000000091,-6.0,16.699999999999818,21.09999999999991,0.0,3.099999999999909,16.59999999999991,17.799999999999955,1.0,6.899999999999864,18.799999999999955,11.399999999999864,18.799999999999955
